id,name,price,imageName,colors,sizes,description
1,Bean,22.99,bean,Forest Green/Graphite Heather/Maroon/Deep Orange,One size,"Don't brave the elements without the proper headwear. Good for winter spring or fall, customize this knit beanie for your chilly weather go-to cap! For every task that takes you outdoors stay comfortable, stylish, and warm!"
2,Big Logo Tee,29.99,big-logo-tee,,,
3,Big Logo Tee,29.99,big-logo-tee2,,,
4,Classic Crew,35.99,classic-crew,,,
5,Classic Hoodie,39.99,classic-hoodie,,,
6,Classic Tee,27.99,classic-tee,,,
7,HumaniTee,27.99,humani-tee,,,
8,i protec: Loyalty,19.99,loyalty-case,,,
9,i protec: Tenacity,19.99,tenacity-case,,,
10,LEGACY Long Sleeve,35.99,legacy-sleeve,,,
11,LoyalTee,29.99,loyal-tee,,,
12,LoyalTee,27.99,loyal-tee2,,,
13,TenaciTee,27.99,tenaci-tee,,,
14,TenaciTee Hoodie,39.99,tenaci-hoodie,,,
15,UniTee,27.99,uni-tee,,,